index,Site EPA ID,Site Name,City,County,State,Zip Code,EPA Region,Date Type,Date,Site Score,Federal Facility Indicator,EPA ID,NPL Status,Superfund Alternative Approach Agreement?,Site URL
24,AZD980737530,Tucson International Airport Area,Tucson,PIMA,Arizona,85734,9,Listing Date,9/8/1983,57.8,No,AZD980737530,Final,No,www.epa.gov/superfund/tucsonairport
25,AZ7570028582,Williams Air Force Base,Chandler,MARICOPA,Arizona,85224,9,Listing Date,11/21/1989,37.93,Yes,AZ7570028582,Final,No,www.epa.gov/superfund/williamsafb
26,AZ0971590062,Yuma Marine Corps Air Station,Yuma,YUMA,Arizona,85369,9,Listing Date,2/21/1990,32.24,Yes,AZ0971590062,Final,No,www.epa.gov/superfund/yumausmc
27,ARD084930148,"Arkwood, Inc.",Omaha,BOONE,Arkansas,72662,6,Listing Date,3/31/1989,28.95,No,ARD084930148,Final,No,www.epa.gov/superfund/arkwood
28,ARD990660649,Cedar Chemical Corporation,West Helena,PHILLIPS,Arkansas,72342,6,Listing Date,9/18/2012,,No,ARD990660649,Final,No,www.epa.gov/superfund/cedar-chemical
29,ARD008049207,MacMillan Ring Free Oil,Norphlet,UNION,Arkansas,71759,6,Listing Date,5/12/2014,50.0,No,ARD008049207,Final,No,www.epa.gov/superfund/macmillan-ring-free-oil
30,ARD092916188,Mid-South Wood Products,Mena,POLK,Arkansas,71953,6,Listing Date,9/8/1983,45.87,No,ARD092916188,Final,No,www.epa.gov/superfund/mid-south-wood
31,ARD980745665,Midland Products,"Birta, Ola",YELL,Arkansas,72853,6,Listing Date,6/10/1986,30.77,No,ARD980745665,Final,No,www.epa.gov/superfund/midland-products
32,ARD049658628,Mountain Pine Pressure Treating,Plainview,YELL,Arkansas,72857,6,Listing Date,7/22/1999,41.93,No,ARD049658628,Final,No,www.epa.gov/superfund/mountain-pine
33,ARD042755231,Ouachita Nevada Wood Treater,Reader,OUACHITA,Arkansas,71726,6,Listing Date,5/11/2000,50.0,No,ARD042755231,Final,No,www.epa.gov/superfund/ouachita-nevada-wood-treaters
34,ARD008052508,"Popile, Inc.",El Dorado,UNION,Arkansas,71730,6,Listing Date,10/14/1992,50.03,No,ARD008052508,Final,No,www.epa.gov/superfund/popile
35,ARD000023440,"Vertac, Inc.",Jacksonville,PULASKI,Arkansas,72076,6,Listing Date,9/8/1983,65.46,No,ARD000023440,Final,No,www.epa.gov/superfund/vertac
36,CAD048634059,"Advanced Micro Devices, Inc.",Sunnyvale,SANTA CLARA,California,94086,9,Listing Date,6/10/1986,37.93,No,CAD048634059,Final,No,www.epa.gov/superfund/advancedmicrodevices
37,CAT080034234,"Advanced Micro Devices, Inc. (Building 915)",Sunnyvale,SANTA CLARA,California,94086,9,Listing Date,8/30/1990,31.94,No,CAT080034234,Final,No,www.epa.gov/superfund/advancedmicrodevices915
38,CAD980358832,Aerojet General Corp.,Rancho Cordova,SACRAMENTO,California,95670,9,Listing Date,9/8/1983,54.63,No,CAD980358832,Final,No,www.epa.gov/superfund/aerojet
39,CA2170023236,Alameda Naval Air Station,Alameda,ALAMEDA,California,94501,9,Listing Date,7/22/1999,50.0,Yes,CA2170023236,Final,No,www.epa.gov/superfund/alamedanavalairstation
40,CAD098229214,Alark Hard Chrome,Riverside,RIVERSIDE,California,92501,9,Listing Date,12/1/2000,50.5,No,CAD098229214,Final,No,www.epa.gov/superfund/alarkhardchrome
41,CA0001576081,AMCO Chemical,Oakland,ALAMEDA,California,94607,9,Listing Date,9/29/2003,50.0,No,CA0001576081,Final,No,www.epa.gov/superfund/amco
42,CAD042728840,Applied Materials,Santa Clara,SANTA CLARA,California,95051,9,Listing Date,7/22/1987,31.94,No,CAD042728840,Final,No,www.epa.gov/superfund/appliedmaterials
43,CAD983650011,Argonaut Mine,Jackson,AMADOR,California,95642,9,Listing Date,9/9/2016,58.31,No,CAD983650011,Final,No,www.epa.gov/superfund/argonautmine
44,CAD980496863,Atlas Asbestos Mine,Fresno County,FRESNO,California,93210,9,Listing Date,9/21/1984,45.55,No,CAD980496863,Final,No,www.epa.gov/superfund/atlasasbestos
45,CA8170024261,Barstow Marine Corps Logistics Base,Barstow,SAN BERNARDINO,California,92311,9,Listing Date,11/21/1989,37.93,Yes,CA8170024261,Final,No,www.epa.gov/superfund/barstowusmc
46,CAD048645444,Beckman Instruments (Porterville Plant),Porterville,TULARE,California,93257,9,Listing Date,6/10/1986,34.21,No,CAD048645444,Final,No,www.epa.gov/superfund/beckmaninstruments
47,CAN000906063,Blue Ledge Mine,Rogue River - Siskiyou National Forest,SISKIYOU,California,96086,9,Listing Date,9/16/2011,50.28,No,CAN000906063,Final,No,www.epa.gov/superfund/blueledgemine
48,CAD052384021,"Brown & Bryant, Inc. (Arvin Plant)",Arvin,KERN,California,93203,9,Listing Date,10/4/1989,53.36,No,CAD052384021,Final,No,www.epa.gov/superfund/brown-bryant
49,CA2170023533,Camp Pendleton Marine Corps Base,San Diego County,SAN DIEGO,California,92055,9,Listing Date,11/21/1989,33.79,Yes,CA2170023533,Final,No,www.epa.gov/superfund/camppendletonusmc
50,CAD020748125,Casmalia Resources,Casmalia,SANTA BARBARA,California,93429,9,Listing Date,9/13/2001,30.0,No,CAD020748125,Final,No,www.epa.gov/superfund/casmalia
51,CA3570024551,Castle Air Force Base (6 Areas),Merced,MERCED,California,95342,9,Listing Date,7/22/1987,37.93,Yes,CA3570024551,Final,No,www.epa.gov/superfund/castleafb
52,CAD063015887,Coast Wood Preserving,Ukiah,MENDOCINO,California,95482,9,Listing Date,9/8/1983,44.73,No,CAD063015887,Final,No,www.epa.gov/superfund/coastwoodpreserving
53,CA7170024528,Concord Naval Weapons Station,Concord,CONTRA COSTA,California,94520,9,Listing Date,12/16/1994,50.0,Yes,CA7170024528,Final,No,www.epa.gov/superfund/concordnavalweapons
54,CAD055753370,Cooper Drum Company,South Gate,LOS ANGELES,California,90280,9,Listing Date,6/14/2001,50.0,No,CAD055753370,Final,No,www.epa.gov/superfund/cooperdrum
55,CAD980498455,Crazy Horse Sanitary Landfill,Salinas,MONTEREY,California,93907,9,Listing Date,8/30/1990,37.93,No,CAD980498455,Final,No,www.epa.gov/superfund/crazyhorselandfill
56,CAD009212838,"CTS Printex, Inc.",Mountain View,SANTA CLARA,California,94043,9,Listing Date,2/21/1990,33.62,No,CAD009212838,Final,No,www.epa.gov/superfund/ctsprintex
57,CAD029544731,Del Amo,Los Angeles,LOS ANGELES,California,90006,9,Listing Date,9/5/2002,47.12,No,CAD029544731,Final,No,www.epa.gov/superfund/delamo
58,CA1570024504,Edwards Air Force Base,Kern County,KERN,California,93524,9,Listing Date,8/30/1990,33.62,Yes,CA1570024504,Final,No,www.epa.gov/superfund/edwardsafb
59,CA6170023208,El Toro Marine Corps Air Station,El Toro,ORANGE,California,92709,9,Listing Date,2/21/1990,37.43,Yes,CA6170023208,Final,No,www.epa.gov/superfund/eltorousmc
60,CAD095989778,Fairchild Semiconductor Corp. (Mountain View Plant),Mountain View,SANTA CLARA,California,94042,9,Listing Date,2/11/1991,31.94,No,CAD095989778,Final,No,www.epa.gov/superfund/fairchildmountainview
61,CAD097012298,Fairchild Semiconductor Corp. (South San Jose Plant),South San Jose,SANTA CLARA,California,95119,9,Listing Date,10/4/1989,44.46,No,CAD097012298,Final,No,www.epa.gov/superfund/fairchildsemiconductorsouth
62,CA7210020676,Fort Ord,Marina,MONTEREY,California,93933,9,Listing Date,2/21/1990,42.24,Yes,CA7210020676,Final,No,www.epa.gov/superfund/fortord
63,CAD980636914,Fresno Municipal Sanitary Landfill,Fresno,FRESNO,California,93706,9,Listing Date,10/4/1989,35.57,No,CAD980636914,Final,No,www.epa.gov/superfund/fresnomunicipallandfill
64,CAD071530380,Frontier Fertilizer,Davis,YOLO,California,95618,9,Listing Date,5/31/1994,35.04,No,CAD071530380,Final,No,www.epa.gov/superfund/frontierfertilizer
65,CA2570024453,George Air Force Base,Victorville,SAN BERNARDINO,California,92392,9,Listing Date,2/21/1990,33.62,Yes,CA2570024453,Final,No,www.epa.gov/superfund/georgeafb
66,CAD009688052,Halaco Engineering Company,Oxnard,VENTURA,California,93033,9,Listing Date,9/19/2007,58.31,No,CAD009688052,Final,No,www.epa.gov/superfund/halaco
67,CAD980884209,Hewlett-Packard (620-640 Page Mill Road),Palo Alto,SANTA CLARA,California,94304,9,Listing Date,2/21/1990,29.76,No,CAD980884209,Final,No,www.epa.gov/superfund/hewlett-packard
68,CAD980736284,Industrial Waste Processing,Fresno,FRESNO,California,93650,9,Listing Date,8/30/1990,51.13,No,CAD980736284,Final,No,www.epa.gov/superfund/industrialwasteprocessing
69,CAD061620217,Intel Corp. (Mountain View Plant),Mountain View,SANTA CLARA,California,94040,9,Listing Date,6/10/1986,29.76,No,CAD061620217,Final,No,www.epa.gov/superfund/intelmountainview
70,CAT000612184,Intel Corp. (Santa Clara III),Santa Clara,SANTA CLARA,California,95051,9,Listing Date,6/10/1986,31.94,No,CAT000612184,Final,No,www.epa.gov/superfund/intelsantaclara
71,CAD092212497,Intel Magnetics,Santa Clara,SANTA CLARA,California,95051,9,Listing Date,6/10/1986,31.94,No,CAD092212497,Final,No,www.epa.gov/superfund/intelmagnetics-microStorage
72,CAD041472341,Intersil Inc./Siemens Components,Cupertino,SANTA CLARA,California,95014,9,Listing Date,8/30/1990,28.9,No,CAD041472341,Final,No,www.epa.gov/superfund/intersil-siemens
73,CAD980498612,Iron Mountain Mine,Redding,SHASTA,California,96001,9,Listing Date,9/8/1983,56.16,No,CAD980498612,Final,No,www.epa.gov/superfund/ironmountainmine
74,CAD000625731,J.H. Baxter & Co.,Weed,SISKIYOU,California,96094,9,Listing Date,10/4/1989,34.78,No,CAD000625731,Final,No,www.epa.gov/superfund/jhbaxter
75,CAD009103318,Jasco Chemical Corp.,Mountain View,SANTA CLARA,California,94041,9,Listing Date,10/4/1989,35.36,No,CAD009103318,Final,No,www.epa.gov/superfund/jasco
76,CAD008339467,Jervis B. Webb Co.,South Gate,LOS ANGELES,California,90280,9,Listing Date,5/10/2012,45.76,No,CAD008339467,Final,No,www.epa.gov/superfund/jerviswebb
77,CA9800013030,Jet Propulsion Laboratory (NASA),Pasadena,LOS ANGELES,California,91109,9,Listing Date,10/14/1992,50.0,Yes,CA9800013030,Final,No,www.epa.gov/superfund/jetpropulsionlab
78,CA1141190578,Klau/Buena Vista Mine,Paso Robles,SAN LUIS OBISPO,California,93446,9,Listing Date,4/19/2006,50.0,No,CA1141190578,Final,No,www.epa.gov/superfund/klaubuenavista
79,CAD009112087,"Koppers Co., Inc. (Oroville Plant)",Oroville,BUTTE,California,95965,9,Listing Date,9/21/1984,33.73,No,CAD009112087,Final,No,www.epa.gov/superfund/koppersoroville
80,CA2890190000,Laboratory for Energy-Related Health Research/Old Campus Landfill (USDOE),Davis,SOLANO,California,95616,9,Listing Date,5/31/1994,50.0,Yes,CA2890190000,Final,No,www.epa.gov/superfund/lehr
81,CAD983618893,Lava Cap Mine,Nevada City,NEVADA,California,95959,9,Listing Date,1/19/1999,33.66,No,CAD983618893,Final,No,www.epa.gov/superfund/lavacap
82,CA2890012584,Lawrence Livermore Laboratory (USDOE),Livermore,ALAMEDA,California,94550,9,Listing Date,7/22/1987,42.24,Yes,CA2890012584,Final,No,www.epa.gov/superfund/lawrencelivermoremain
83,CA2890090002,Lawrence Livermore National Laboratory (Site 300) (USDOE),Livermore,SAN JOAQUIN,California,95376,9,Listing Date,8/30/1990,31.58,Yes,CA2890090002,Final,No,www.epa.gov/superfund/lawrencelivermore300
84,CAD980673685,Leviathan Mine,Markleeville,ALPINE,California,96120,9,Listing Date,5/11/2000,50.0,No,CAD980673685,Final,No,www.epa.gov/superfund/leviathanmine
85,CAD029295706,Lorentz Barrel & Drum Co.,San Jose,SANTA CLARA,California,95112,9,Listing Date,10/4/1989,33.94,No,CAD029295706,Final,No,www.epa.gov/superfund/lorentzbarrel-drum
86,CA4570024527,March Air Force Base,Riverside,RIVERSIDE,California,92518,9,Listing Date,11/21/1989,31.94,Yes,CA4570024527,Final,No,www.epa.gov/superfund/marchafb
87,CA8570024143,Mather Air Force Base,Sacramento,SACRAMENTO,California,95655,9,Listing Date,7/22/1987,28.9,Yes,CA8570024143,Final,No,www.epa.gov/superfund/matherafb
88,CA4570024337,McClellan Air Force Base (Ground Water Contamination),Sacramento,SACRAMENTO,California,95652,9,Listing Date,7/22/1987,57.93,Yes,CA4570024337,Final,No,www.epa.gov/superfund/mcclellanafb
89,CAD980498695,McColl,Fullerton,ORANGE,California,92833,9,Listing Date,9/8/1983,41.77,No,CAD980498695,Final,No,www.epa.gov/superfund/mccoll
90,CAD009106527,McCormick & Baxter Creosoting Co.,Stockton,SAN JOAQUIN,California,95203,9,Listing Date,10/14/1992,74.86,No,CAD009106527,Final,No,www.epa.gov/superfund/mccormick-baxter
91,CAD000074120,MGM Brakes,Cloverdale,SONOMA,California,95425,9,Listing Date,9/8/1983,34.7,No,CAD000074120,Final,No,www.epa.gov/superfund/mgmbrakes
92,CAD981997752,Modesto Ground Water Contamination,Modesto,STANISLAUS,California,95351,9,Listing Date,3/31/1989,28.9,No,CAD981997752,Final,No,www.epa.gov/superfund/modesto
93,CA2170090078,Moffett Naval Air Station,Sunnyvale,SANTA CLARA,California,94035,9,Listing Date,7/22/1987,29.49,Yes,CA2170090078,Final,No,www.epa.gov/superfund/moffettfield
94,CAD049236201,Monolithic Memories,Sunnyvale,SANTA CLARA,California,94086,9,Listing Date,7/22/1987,35.57,No,CAD049236201,Final,No,www.epa.gov/superfund/monolithicmemories
95,CAD008242711,Montrose Chemical Corp.,Torrance,LOS ANGELES,California,90502,9,Listing Date,10/4/1989,32.1,No,CAD008242711,Final,No,www.epa.gov/superfund/montrose
96,CAD041472986,National Semiconductor Corp.,Santa Clara,SANTA CLARA,California,95050,9,Listing Date,7/22/1987,35.57,No,CAD041472986,Final,No,www.epa.gov/superfund/nationalsemiconductor
97,CA0001900463,New Idria Mercury Mine,Idria,SAN BENITO,California,95043,9,Listing Date,9/16/2011,31.66,No,CA0001900463,Final,No,www.epa.gov/superfund/newidria
98,CAD981434517,Newmark Ground Water Contamination,San Bernardino,SAN BERNARDINO,California,92408,9,Listing Date,3/31/1989,35.57,No,CAD981434517,Final,No,www.epa.gov/superfund/newmark
99,CA4570024345,Norton Air Force Base,San Bernardino,SAN BERNARDINO,California,92408,9,Listing Date,7/22/1987,39.65,Yes,CA4570024345,Final,No,www.epa.gov/superfund/nortonafb
100,CAD042245001,Omega Chemical Corporation,Whittier,LOS ANGELES,California,90602,9,Listing Date,1/19/1999,30.94,No,CAD042245001,Final,No,www.epa.gov/superfund/omegachemical
101,CAT080012024,"Operating Industries, Inc., Landfill",Monterey Park,LOS ANGELES,California,91754,9,Listing Date,6/10/1986,57.22,No,CAT080012024,Final,No,www.epa.gov/superfund/operatingindustries
102,CAD980636781,Pacific Coast Pipe Lines,Fillmore,VENTURA,California,93015,9,Listing Date,10/4/1989,46.01,No,CAD980636781,Final,No,www.epa.gov/superfund/pacificcoastpipeline
103,CAD980737092,Pemaco Maywood,Maywood,LOS ANGELES,California,90270,9,Listing Date,1/19/1999,45.23,No,CAD980737092,Final,No,www.epa.gov/superfund/pemaco
104,CAD980736151,"Purity Oil Sales, Inc.",Malaga,FRESNO,California,93725,9,Listing Date,9/8/1983,43.27,No,CAD980736151,Final,No,www.epa.gov/superfund/purityoil
105,CAD009205097,Raytheon Corp.,Mountain View,SANTA CLARA,California,94043,9,Listing Date,6/10/1986,29.76,No,CAD009205097,Final,No,www.epa.gov/superfund/raytheon
106,CA7210020759,Riverbank Army Ammunition Plant,Riverbank,STANISLAUS,California,95367,9,Listing Date,2/21/1990,63.94,Yes,CA7210020759,Final,No,www.epa.gov/superfund/riverbankarmy
107,CAN000905945,"Rockets, Fireworks, and Flares (RFF)",Rialto,SAN BERNARDINO,California,92377,9,Listing Date,9/23/2009,50.0,No,CAN000905945,Final,No,www.epa.gov/superfund/rff
108,CA0210020780,Sacramento Army Depot,Sacramento,SACRAMENTO,California,95813,9,Listing Date,7/22/1987,44.46,Yes,CA0210020780,Final,No,www.epa.gov/superfund/sacramentoarmy
109,CAD980894893,San Fernando Valley (Area 1),Los Angeles,LOS ANGELES,California,91601,9,Listing Date,6/10/1986,42.24,No,CAD980894893,Final,No,www.epa.gov/superfund/sanfernandonorthhollywood
110,CAD980894901,San Fernando Valley (Area 2),"Glendale, Los Angeles",LOS ANGELES,California,91209,9,Listing Date,6/10/1986,42.24,No,CAD980894901,Final,No,www.epa.gov/superfund/sanfernandoglendale
111,CAD980894976,San Fernando Valley (Area 4),Los Angeles,LOS ANGELES,California,90086,9,Listing Date,6/10/1986,35.57,No,CAD980894976,Final,No,www.epa.gov/superfund/sanfernandopollock
112,CAD980677355,San Gabriel Valley (Area 1),El Monte,LOS ANGELES,California,91733,9,Listing Date,5/8/1984,42.24,No,CAD980677355,Final,No,www.epa.gov/superfund/sangabrielelmonte
113,CAD980818512,San Gabriel Valley (Area 2),Baldwin Park Area,LOS ANGELES,California,91706,9,Listing Date,5/8/1984,42.24,No,CAD980818512,Final,No,www.epa.gov/superfund/sangabrielbaldwinpark
114,CAD980818579,San Gabriel Valley (Area 3),Alhambra,LOS ANGELES,California,91801,9,Listing Date,5/8/1984,28.9,No,CAD980818579,Final,No,www.epa.gov/superfund/sangabrielall
115,CAD980817985,San Gabriel Valley (Area 4),La Puente,LOS ANGELES,California,91744,9,Listing Date,5/8/1984,28.9,No,CAD980817985,Final,No,www.epa.gov/superfund/sangabrielpuentevalley
116,CAD029452141,Selma Treating Co.,Selma,FRESNO,California,93662,9,Listing Date,9/8/1983,48.83,No,CAD029452141,Final,No,www.epa.gov/superfund/selma
117,CA8210020832,Sharpe Army Depot,Lathrop,SAN JOAQUIN,California,95330,9,Listing Date,7/22/1987,42.24,Yes,CA8210020832,Final,No,www.epa.gov/superfund/sharpearmy
118,CAD980894885,South Bay Asbestos Area,Alviso,SANTA CLARA,California,95002,9,Listing Date,6/10/1986,44.68,No,CAD980894885,Final,No,www.epa.gov/superfund/southbayasbestos
119,CAN000905902,Southern Avenue Industrial Area,South Gate,LOS ANGELES,California,90280,9,Listing Date,5/10/2012,50.0,No,CAN000905902,Final,No,www.epa.gov/superfund/saia
120,CAD009138488,"Spectra-Physics, Inc.",Mountain View,SANTA CLARA,California,94042,9,Listing Date,2/11/1991,37.2,No,CAD009138488,Final,No,www.epa.gov/superfund/spectra-physics
121,CAT080012826,Stringfellow,Glen Avon Heights,RIVERSIDE,California,91752,9,Listing Date,9/8/1983,,No,CAT080012826,Final,No,www.epa.gov/superfund/stringfellow
122,CAD980893275,Sulphur Bank Mercury Mine,Clear Lake,LAKE,California,95422,9,Listing Date,8/30/1990,44.42,No,CAD980893275,Final,No,www.epa.gov/superfund/sulphurbankmercury
123,CAD990832735,"Synertek, Inc. (Building 1)",Santa Clara,SANTA CLARA,California,95051,9,Listing Date,10/4/1989,31.94,No,CAD990832735,Final,No,www.epa.gov/superfund/synertek
124,CAD009111444,Teledyne Semiconductor,Mountain View,SANTA CLARA,California,94043,9,Listing Date,7/22/1987,35.35,No,CAD009111444,Final,No,www.epa.gov/superfund/teledyne
125,CA4971520834,Tracy Defense Depot (USARMY),Tracy,SAN JOAQUIN,California,95376,9,Listing Date,8/30/1990,37.16,Yes,CA4971520834,Final,No,www.epa.gov/superfund/tracydefense
126,CA5570024575,Travis Air Force Base,Solano County,SOLANO,California,94535,9,Listing Date,11/21/1989,29.49,Yes,CA5570024575,Final,No,www.epa.gov/superfund/travisafb
127,CA1170090087,Treasure Island Naval Air Station - Hunters Point Annex,San Francisco,SAN FRANCISCO,California,94124,9,Listing Date,11/21/1989,48.77,Yes,CA1170090087,Final,No,www.epa.gov/superfund/hunterspoint
128,CAD009159088,"TRW Microwave, Inc. (Building 825)",Sunnyvale,SANTA CLARA,California,94086,9,Listing Date,2/21/1990,31.94,No,CAD009159088,Final,No,www.epa.gov/superfund/trwmicrowave
129,CAD981436363,United Heckathorn Co.,Richmond,CONTRA COSTA,California,94804,9,Listing Date,3/14/1990,38.49,No,CAD981436363,Final,No,www.epa.gov/superfund/unitedheckathorn
130,CAD063020143,"Valley Wood Preserving, Inc.",Turlock,STANISLAUS,California,95380,9,Listing Date,3/31/1989,32.01,No,CAD063020143,Final,No,www.epa.gov/superfund/valleywood
131,CAD980884357,"Waste Disposal, Inc.",Santa Fe Springs,LOS ANGELES,California,90670,9,Listing Date,7/22/1987,34.6,No,CAD980884357,Final,No,www.epa.gov/superfund/wastedisposal
132,CAD980893234,Watkins-Johnson Co. (Stewart Division Plant),Scotts Valley,SANTA CRUZ,California,95066,9,Listing Date,8/30/1990,28.9,No,CAD980893234,Final,No,www.epa.gov/superfund/watkins-johnson
133,CAD001864081,Westinghouse Electric Corp. (Sunnyvale Plant),Sunnyvale,SANTA CLARA,California,95117,9,Listing Date,6/10/1986,39.93,No,CAD001864081,Final,No,www.epa.gov/superfund/westinghouse
134,CO7570090038,Air Force Plant PJKS,Waterton,JEFFERSON,Colorado,80127,8,Listing Date,11/21/1989,42.93,Yes,CO7570090038,Final,No,www.epa.gov/superfund/air-force-plant-pjks
135,CON000802497,Bonita Peak Mining District,San Juan County,SAN JUAN,Colorado,81433,8,Listing Date,9/9/2016,50.0,No,CON000802497,Final,No,www.epa.gov/superfund/bonita-peak
136,COD000110254,Broderick Wood Products,Denver,ADAMS,Colorado,80221,8,Listing Date,9/21/1984,35.13,No,COD000110254,Final,No,www.epa.gov/superfund/broderick-wood
137,COD980717938,California Gulch,Leadville,LAKE,Colorado,80461,8,Listing Date,9/8/1983,55.84,No,COD980717938,Final,No,www.epa.gov/superfund/california-gulch
138,COD981551427,Captain Jack Mill,Ward,BOULDER,Colorado,80481,8,Listing Date,9/29/2003,50.56,No,COD981551427,Final,No,www.epa.gov/superfund/captain-jack
139,COD980717557,"Central City, Clear Creek",Idaho Springs,CLEAR CREEK,Colorado,80452,8,Listing Date,9/8/1983,51.39,No,COD980717557,Final,No,www.epa.gov/superfund/central-city
140,COD007431620,Chemical Sales Co.,Denver,DENVER,Colorado,80216,8,Listing Date,8/30/1990,37.93,No,COD007431620,Final,No,www.epa.gov/superfund/chemical-sales
141,CON000802700,Colorado Smelter,Pueblo,PUEBLO,Colorado,81006,8,Listing Date,12/11/2014,50.0,No,CON000802700,Final,No,www.epa.gov/superfund/colorado-smelter
142,COD980716955,Denver Radium Site,Denver,DENVER,Colorado,80204,8,Listing Date,9/8/1983,44.11,No,COD980716955,Final,No,www.epa.gov/superfund/denver-radium
